Month,Formula E: (United States),electric vehicles: (United States)
2004-01,5,27
2004-02,7,37
2004-03,9,39
2004-04,8,57
2004-05,13,72
2004-06,4,53
2004-07,3,37
2004-08,4,35
2004-09,10,39
2004-10,9,39
2004-11,4,32
2004-12,5,30
2005-01,11,18
2005-02,4,29
2005-03,8,33
2005-04,10,53
2005-05,9,39
2005-06,3,34
2005-07,4,33
2005-08,6,59
2005-09,5,73
2005-10,7,34
2005-11,7,39
2005-12,9,23
2006-01,3,26
2006-02,11,28
2006-03,5,33
2006-04,6,50
2006-05,9,46
2006-06,7,30
2006-07,1,49
2006-08,6,41
2006-09,10,27
2006-10,8,29
2006-11,6,33
2006-12,9,25
2007-01,7,31
2007-02,6,39
2007-03,6,38
2007-04,8,41
2007-05,8,52
2007-06,6,46
2007-07,7,43
2007-08,6,31
2007-09,8,34
2007-10,7,37
2007-11,6,47
2007-12,5,34
2008-01,10,37
2008-02,10,43
2008-03,7,48
2008-04,11,66
2008-05,11,100
2008-06,10,98
2008-07,9,80
2008-08,12,76
2008-09,16,53
2008-10,16,44
2008-11,18,45
2008-12,11,40
2009-01,15,40
2009-02,18,38
2009-03,21,42
2009-04,18,43
2009-05,19,44
2009-06,25,45
2009-07,16,38
2009-08,21,51
2009-09,26,52
2009-10,28,54
2009-11,30,58
2009-12,22,54
2010-01,16,38
2010-02,20,42
2010-03,26,35
2010-04,27,44
2010-05,28,39
2010-06,22,39
2010-07,15,43
2010-08,19,32
2010-09,27,31
2010-10,25,33
2010-11,30,37
2010-12,17,34
2011-01,13,39
2011-02,15,38
2011-03,16,42
2011-04,13,50
2011-05,13,42
2011-06,10,37
2011-07,9,36
2011-08,12,33
2011-09,17,34
2011-10,20,38
2011-11,15,35
2011-12,17,28
2012-01,15,30
2012-02,17,38
2012-03,13,41
2012-04,14,39
2012-05,15,36
2012-06,11,30
2012-07,9,36
2012-08,9,29
2012-09,16,36
2012-10,15,32
2012-11,17,30
2012-12,15,26
2013-01,14,24
2013-02,16,29
2013-03,17,28
2013-04,19,32
2013-05,18,31
2013-06,14,28
2013-07,15,27
2013-08,14,27
2013-09,22,28
2013-10,23,27
2013-11,21,30
2013-12,25,23
2014-01,24,23
2014-02,23,27
2014-03,24,27
2014-04,23,34
2014-05,26,28
2014-06,21,27
2014-07,25,26
2014-08,20,28
2014-09,88,31
2014-10,35,26
2014-11,42,26
2014-12,30,24
2015-01,33,25
2015-02,35,27
2015-03,84,24
2015-04,51,30
2015-05,28,25
2015-06,34,23
2015-07,19,23
2015-08,19,23
2015-09,25,25
2015-10,30,27
2015-11,36,24
2015-12,28,25
2016-01,22,22
2016-02,34,27
2016-03,40,29
2016-04,50,33
2016-05,27,25
2016-06,21,25
2016-07,24,25
2016-08,18,29
2016-09,33,29
2016-10,40,29
2016-11,34,29
2016-12,25,28
2017-01,27,31
